State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
rajasthan,2022,3,Peer-to-peer payments,299383118,9.61209E+11
rajasthan,2022,3,Recharge & bill payments,69118763,46000391408
rajasthan,2022,3,Financial Services,215235,220271929.8
rajasthan,2022,3,Others,719925,449514643.6
rajasthan,2022,1,Merchant payments,267467038,1.71182E+11
rajasthan,2022,1,Peer-to-peer payments,241739380,8.14525E+11
rajasthan,2022,1,Recharge & bill payments,54555117,35542881861
rajasthan,2022,1,Financial Services,244029,243340851.7
rajasthan,2022,1,Others,956656,556409604.9
rajasthan,2019,4,Peer-to-peer payments,43354317,1.40449E+11
rajasthan,2019,4,Recharge & bill payments,20604852,9028860435
rajasthan,2019,4,Merchant payments,20544791,9721826538
rajasthan,2019,4,Financial Services,101805,25014672.38
rajasthan,2019,4,Others,468477,227573686.6
rajasthan,2019,2,Peer-to-peer payments,25257679,79466464089
rajasthan,2019,2,Recharge & bill payments,14968290,5709279551
rajasthan,2019,2,Merchant payments,9026751,3435472167
rajasthan,2019,2,Financial Services,182685,34134486.76
rajasthan,2019,2,Others,573881,461962878.5
rajasthan,2019,3,Peer-to-peer payments,29885618,97443950787
rajasthan,2019,3,Merchant payments,19646612,6705923743
rajasthan,2019,3,Recharge & bill payments,16970783,7872719572
rajasthan,2019,3,Financial Services,217029,37899900.33
rajasthan,2019,3,Others,583575,407796030.9
rajasthan,2019,1,Peer-to-peer payments,27621606,55246071722
rajasthan,2019,1,Recharge & bill payments,11650961,3821181817
rajasthan,2019,1,Merchant payments,3921438,1664209335
rajasthan,2019,1,Financial Services,359993,36340412.58
rajasthan,2019,1,Others,402042,373355289.6
gujarat,2020,4,Peer-to-peer payments,29967258,1.16743E+11
gujarat,2020,4,Merchant payments,28430460,20844321157
gujarat,2020,4,Recharge & bill payments,18943669,10441981826
gujarat,2020,4,Financial Services,113371,120056733.9
gujarat,2020,4,Others,373789,243470065.5
gujarat,2020,2,Recharge & bill payments,19971660,8322688557
gujarat,2020,2,Peer-to-peer payments,17569398,64723140394
gujarat,2020,2,Merchant payments,9645967,7196610932
gujarat,2020,2,Financial Services,59617,53132341.31
gujarat,2020,2,Others,173543,92274135.41
gujarat,2020,3,Peer-to-peer payments,23130724,89142122337
gujarat,2020,3,Merchant payments,18338969,12749796642
gujarat,2020,3,Recharge & bill payments,17481357,9820654244
gujarat,2020,3,Financial Services,92278,84723188.62
gujarat,2020,3,Others,246851,124456073.2
gujarat,2020,1,Peer-to-peer payments,19068093,72393727235
gujarat,2020,1,Recharge & bill payments,15648472,7197595157
gujarat,2020,1,Merchant payments,12191478,7210758662
gujarat,2020,1,Financial Services,50753,27460255.46
gujarat,2020,1,Others,367621,165535312.4
gujarat,2021,4,Merchant payments,84846502,68717933162
gujarat,2021,4,Peer-to-peer payments,67301686,2.54339E+11
gujarat,2021,4,Recharge & bill payments,30072479,18739034342
gujarat,2021,4,Financial Services,175393,209214620.7
gujarat,2021,4,Others,591265,377657202.8
gujarat,2021,2,Merchant payments,42593432,33542305034
gujarat,2021,2,Peer-to-peer payments,41642387,1.62484E+11
gujarat,2021,2,Recharge & bill payments,27127405,13750783182
gujarat,2021,2,Financial Services,128647,136119996.7
gujarat,2021,2,Others,349525,249278437.3
gujarat,2021,3,Merchant payments,62934471,48197579737
gujarat,2021,3,Peer-to-peer payments,56134212,2.08013E+11
gujarat,2021,3,Recharge & bill payments,29580901,15945997372
